Tabel;Väli;Selgitus
statvastus_t;oige;"vastuse õigsus (1 - õige, 0,5 - osaliselt õige, 0 - vale või loetamatu või vastamata)"
statvastus_t;vastus;"vastus või eripaari teise valiku kood"
statvastus_t;selgitus;"vastuse selgitus"
statvastus_t;kvsisu_seq;"vastuse jrk nr"
statvastus_t;kvsisu_id;"viide vastuse sisu kirjele"
statvastus_t;kysimus_id;"viide küsimuse kirjele"
statvastus_t;kysimusevastus_id;"viide küsimusevastuse kirjele"
statvastus_t;ylesandevastus_id;"viide ülesandevastuse kirjele"
statvastus_t;max_vastus;"kood1 max vastuste arv"
statvastus_t;valik1_id;""
statvastus_t;valik2_id;""
statvastus_t;valitudylesanne_id;""
statvastus_t;testiylesanne_id;""
statvastus_t;tulemus_id;""
statvastus_t;ylesanne_id;""
statvastus_t;sooritus_id;""
statvastus_t;sooritaja_id;""
statvastus_t;toimumisaeg_id;""
statvastus_t;testiosa_id;""
statvastus_t;testikoht_id;""
statvastus_t;staatus;"soorituse staatus"
statvastus_t_seis;TABEL 1.161;"Tabeli statvastus_t uuendamise andmed"
statvastus_t_seis;created;"kirje loomise aeg"
statvastus_t_seis;modified;"kirje viimase muutmise aeg"
statvastus_t_seis;creator;"kirje looja isikukood"
statvastus_t_seis;modifier;"kirje viimase muutja isikukood"
statvastus_t_seis;id;"kirje identifikaator"
statvastus_t_seis;testiosa_id;"viide testiosale, mille andmed uuendati"
statvastus_t_seis;toimumisaeg_id;"viide toimumisajale, mille andmed uuendati"
statvastus_t_seis;seisuga;"andmete uuendamise aeg"
statvastus_t_seis;protsess_id;"arvutusprotsessi ID, millega andmed uuendati"
t_abivahend;TABEL 1.162;"Tabeli Abivahend tõlge"
t_abivahend;created;"kirje loomise aeg"
t_abivahend;modified;"kirje viimase muutmise aeg"
t_abivahend;creator;"kirje looja isikukood"
t_abivahend;modifier;"kirje viimase muutja isikukood"
t_abivahend;id;"kirje identifikaator"
t_abivahend;orig_id;"viide lähtetabelile"
t_abivahend;lang;"tõlkekeel"
t_abivahend;nimi;"nimetus"
t_abivahend;kirjeldus;"täiendav kirjeldus"
t_abivahend;pais;"HTML päisesse lisatav osa (vahendite korral)"
t_alatest;TABEL 1.163;"Tabeli Alatest tõlge"
t_alatest;created;"kirje loomise aeg"
t_alatest;modified;"kirje viimase muutmise aeg"
t_alatest;creator;"kirje looja isikukood"
t_alatest;modifier;"kirje viimase muutja isikukood"
t_alatest;orig_id;"viide lähtekirjele"
t_alatest;lang;"tõlkekeel"
t_alatest;nimi;"nimetus"
t_alatest;sooritajajuhend;"sooritajajuhend"
t_alatestigrupp;TABEL 1.164;"Tabeli Alatestigrupp tõlge"
t_alatestigrupp;created;"kirje loomise aeg"
t_alatestigrupp;modified;"kirje viimase muutmise aeg"
t_alatestigrupp;creator;"kirje looja isikukood"
t_alatestigrupp;modifier;"kirje viimase muutja isikukood"
t_alatestigrupp;orig_id;"viide lähtekirjele"
t_alatestigrupp;lang;"tõlkekeel"
t_alatestigrupp;nimi;"grupi nimetus"
t_hindamisaspekt;TABEL 1.165;"Tabeli Hindamisaspekt tõlge"
t_hindamisaspekt;created;"kirje loomise aeg"
t_hindamisaspekt;modified;"kirje viimase muutmise aeg"
t_hindamisaspekt;creator;"kirje looja isikukood"
t_hindamisaspekt;modifier;"kirje viimase muutja isikukood"
t_hindamisaspekt;id;"kirje identifikaator"
t_hindamisaspekt;orig_id;"viide lähtetabelile"
t_hindamisaspekt;lang;"tõlkekeel"
t_hindamisaspekt;ylesandeversioon_id;"versioon"
t_hindamisaspekt;hindamisjuhis;"juhis"
t_hindamiskriteerium;TABEL 1.166;"Tabeli Hindamiskriteerium tõlge"
t_hindamiskriteerium;created;"kirje loomise aeg"
t_hindamiskriteerium;modified;"kirje viimase muutmise aeg"
t_hindamiskriteerium;creator;"kirje looja isikukood"
t_hindamiskriteerium;modifier;"kirje viimase muutja isikukood"
t_hindamiskriteerium;orig_id;"viide lähtekirjele"
t_hindamiskriteerium;lang;"tõlkekeel"
t_hindamiskriteerium;hindamisjuhis;"juhis"
t_hindamismaatriks;TABEL 1.167;"Tabeli Hindamismaatriks tõlge"
t_hindamismaatriks;created;"kirje loomise aeg"
t_hindamismaatriks;modified;"kirje viimase muutmise aeg"
t_hindamismaatriks;creator;"kirje looja isikukood"
t_hindamismaatriks;modifier;"kirje viimase muutja isikukood"
t_hindamismaatriks;id;"kirje identifikaator"
t_hindamismaatriks;orig_id;"viide lähtetabelile"
t_hindamismaatriks;lang;"tõlkekeel"
t_hindamismaatriks;ylesandeversioon_id;"versioon"
t_hindamismaatriks;kood1;"kood1"
t_hindamismaatriks;kood2;"kood2"
t_klassifikaator;TABEL 1.168;"Tabeli Klassifikaator tõlge"
t_klassifikaator;created;"kirje loomise aeg"
t_klassifikaator;modified;"kirje viimase muutmise aeg"
t_klassifikaator;creator;"kirje looja isikukood"
t_klassifikaator;modifier;"kirje viimase muutja isikukood"
t_klassifikaator;id;"kirje identifikaator"
t_klassifikaator;orig_kood;"viide lähtetabelile"
t_klassifikaator;lang;"tõlkekeel"
t_klassifikaator;nimi;"nimetus"
t_klrida;TABEL 1.169;"Tabeli Klrida tõlge"
t_klrida;created;"kirje loomise aeg"
t_klrida;modified;"kirje viimase muutmise aeg"
t_klrida;creator;"kirje looja isikukood"
t_klrida;modifier;"kirje viimase muutja isikukood"
t_klrida;id;"kirje identifikaator"
t_klrida;orig_id;"viide lähtetabelile"
t_klrida;lang;"tõlkekeel"
t_klrida;nimi;"nimetus"
t_klrida;kirjeldus;"täiendav kirjeldus"
t_klrida;pais;"HTML päisesse lisatav osa (vahendite korral)"
t_kritkirjeldus;TABEL 1.170;"Tabeli Kritkirjeldus tõlge"
t_kritkirjeldus;created;"kirje loomise aeg"
t_kritkirjeldus;modified;"kirje viimase muutmise aeg"
t_kritkirjeldus;creator;"kirje looja isikukood"
t_kritkirjeldus;modifier;"kirje viimase muutja isikukood"
t_kritkirjeldus;orig_id;"viide lähtekirjele"
t_kritkirjeldus;lang;"tõlkekeel"
t_kritkirjeldus;kirjeldus;"juhis"
t_kysimus;TABEL 1.171;"Tabeli Kysimus tõlge"
t_kysimus;created;"kirje loomise aeg"
t_kysimus;modified;"kirje viimase muutmise aeg"
t_kysimus;creator;"kirje looja isikukood"
t_kysimus;modifier;"kirje viimase muutja isikukood"
t_kysimus;id;"kirje identifikaator"
t_kysimus;orig_id;"viide lähtetabelile"
t_kysimus;lang;"tõlkekeel"
t_kysimus;ylesandeversioon_id;"versioon"
t_kysimus;pikkus;"avatud lünga pikkus, ristsõna sõna pikkus"
t_kysimus;max_pikkus;"avatud lünga vastuse max pikkus"
t_kysimus;ridu;"avatud lünga korral ridade arv"
t_kysimus;mask;"avatud lünga mask"
t_kysimus;vihje;"vihje, mis kuvatakse lahendajale enne vastuse sisestamist"
t_kysimus;pos_x;"ristsõna korral: mitmes veerg"
t_kysimus;pos_y;"ristsõna korral: mitmes rida"
t_kysimus;joondus;"ristsõna korral: teksti suund"
t_kyslisa;TABEL 1.172;"Tabeli Kyslisa tõlge"
t_kyslisa;created;"kirje loomise aeg"
t_kyslisa;modified;"kirje viimase muutmise aeg"
t_kyslisa;creator;"kirje looja isikukood"
t_kyslisa;modifier;"kirje viimase muutja isikukood"
t_kyslisa;id;"kirje identifikaator"
t_kyslisa;orig_id;"viide lähtetabelile"
t_kyslisa;lang;"tõlkekeel"
t_kyslisa;ylesandeversioon_id;"versioon"
t_kyslisa;yhik;"liuguriga mõõdetava ühiku nimetus"
t_lahendusjuhis;TABEL 1.173;"Tabeli Lahendusjuhis tõlge"
t_lahendusjuhis;created;"kirje loomise aeg"
t_lahendusjuhis;modified;"kirje viimase muutmise aeg"
t_lahendusjuhis;creator;"kirje looja isikukood"
t_lahendusjuhis;modifier;"kirje viimase muutja isikukood"
t_lahendusjuhis;id;"kirje identifikaator"
t_lahendusjuhis;orig_id;"viide lähtetabelile"
t_lahendusjuhis;lang;"tõlkekeel"
t_lahendusjuhis;ylesandeversioon_id;"versioon"
t_lahendusjuhis;juhis;"juhis"
t_lahendusjuhis;tahemargid;"lahendusjuhise tõlke tähemärkide arv"
t_normipunkt;TABEL 1.174;"Tabeli Normipunkt tõlge"
t_normipunkt;created;"kirje loomise aeg"
t_normipunkt;modified;"kirje viimase muutmise aeg"
t_normipunkt;creator;"kirje looja isikukood"
t_normipunkt;modifier;"kirje viimase muutja isikukood"
t_normipunkt;orig_id;"viide lähtekirjele"
t_normipunkt;lang;"tõlkekeel"
t_normipunkt;nimi;"nimetus, mida tulemuste kuvamisel kasutatakse"
t_normipunkt;tahemargid;"tähemärkide arv"
t_nptagasiside;TABEL 1.175;"Tabeli Nptagasiside tõlge"
t_nptagasiside;created;"kirje loomise aeg"
t_nptagasiside;modified;"kirje viimase muutmise aeg"
t_nptagasiside;creator;"kirje looja isikukood"
t_nptagasiside;modifier;"kirje viimase muutja isikukood"
t_nptagasiside;orig_id;"viide lähtekirjele"
t_nptagasiside;lang;"tõlkekeel"
t_nptagasiside;tagasiside;"sooritajale kuvatava tagasiside tekst"
t_nptagasiside;op_tagasiside;"õpetajale kuvatava tagasiside tekst"
t_nptagasiside;stat_tagasiside;"statistikas kasutatav tagasiside (grupi kohta)"
t_nsgrupp;TABEL 1.176;"Tabeli Nsgrupp tõlge"
t_nsgrupp;created;"kirje loomise aeg"
t_nsgrupp;modified;"kirje viimase muutmise aeg"
t_nsgrupp;creator;"kirje looja isikukood"
t_nsgrupp;modifier;"kirje viimase muutja isikukood"
t_nsgrupp;orig_id;"viide lähtekirjele"
t_nsgrupp;lang;"tõlkekeel"
t_nsgrupp;nimi;"grupi nimetus"
t_punktikirjeldus;TABEL 1.177;"Tabeli Punktikirjeldus tõlge"
t_punktikirjeldus;created;"kirje loomise aeg"
t_punktikirjeldus;modified;"kirje viimase muutmise aeg"
t_punktikirjeldus;creator;"kirje looja isikukood"
t_punktikirjeldus;modifier;"kirje viimase muutja isikukood"
t_punktikirjeldus;id;"kirje identifikaator"
t_punktikirjeldus;orig_id;"viide lähtetabelile"
t_punktikirjeldus;lang;"tõlkekeel"
t_punktikirjeldus;ylesandeversioon_id;"versioon"
t_punktikirjeldus;kirjeldus;"kirjeldus"
t_sisuobjekt;TABEL 1.178;"Tabeli Sisuobjekt tõlge"
t_sisuobjekt;created;"kirje loomise aeg"
t_sisuobjekt;modified;"kirje viimase muutmise aeg"
t_sisuobjekt;creator;"kirje looja isikukood"
t_sisuobjekt;modifier;"kirje viimase muutja isikukood"
t_sisuobjekt;id;"kirje identifikaator"
t_sisuobjekt;orig_id;"viide lähtetabelile"
t_sisuobjekt;lang;"tõlkekeel"
t_sisuobjekt;ylesandeversioon_id;"versioon"
t_sisuobjekt;tiitel;"pildi atribuut title (kasutatakse pildi algallikate märkimiseks)"
t_sisuobjekt;filesize;"faili suurus baitides"
t_sisuobjekt;fileversion;"versioon"
t_sisuobjekt;fileurl;"faili URL"
t_sisuobjekt;laius;"kuvamisel kasutatav laius"
t_sisuobjekt;korgus;"kuvamisel kasutatav kõrgus"
t_sisuobjekt;laius_orig;"pildi tegelik laius"
t_sisuobjekt;korgus_orig;"pildi tegelik kõrgus"
t_sisuplokk;TABEL 1.179;"Tabeli Sisuplokk tõlge"
t_sisuplokk;created;"kirje loomise aeg"
t_sisuplokk;modified;"kirje viimase muutmise aeg"
t_sisuplokk;creator;"kirje looja isikukood"
t_sisuplokk;modifier;"kirje viimase muutja isikukood"
t_sisuplokk;id;"kirje identifikaator"
t_sisuplokk;orig_id;"viide lähtetabelile"
t_sisuplokk;lang;"tõlkekeel"
t_sisuplokk;ylesandeversioon_id;"versioon"
t_sisuplokk;nimi;"nimetus"
t_sisuplokk;tehn_tookask;"tehniline töökäsk"
t_sisuplokk;sisu;"toimetajale näidatav sisu"
t_sisuplokk;sisuvaade;"lahendajale näidatav sisu"
t_sisuplokk;laius;"veergude arv (ristsõna korral)"
t_sisuplokk;korgus;"ridade arv (ristsõna korral)"
t_sisuplokk;tahemargid;"sisuploki tõlke tähemärkide arv"
t_test;TABEL 1.180;"Tabeli Test tõlge"
t_test;created;"kirje loomise aeg"
t_test;modified;"kirje viimase muutmise aeg"
t_test;creator;"kirje looja isikukood"
t_test;modifier;"kirje viimase muutja isikukood"
t_test;orig_id;"viide lähtekirjele"
t_test;lang;"tõlkekeel"
t_test;nimi;"pealkiri"
t_test;tahemargid;"tähemärkide arv tõlkekeeles"
t_testiosa;TABEL 1.181;"Tabeli Testiosa tõlge"
t_testiosa;created;"kirje loomise aeg"
t_testiosa;modified;"kirje viimase muutmise aeg"
t_testiosa;creator;"kirje looja isikukood"
t_testiosa;modifier;"kirje viimase muutja isikukood"
t_testiosa;orig_id;"viide lähtekirjele"
t_testiosa;lang;"tõlkekeel"
t_testiosa;nimi;"testiosa nimetus"
t_testiosa;alustajajuhend;"juhend sooritajale, mis kuvatakse enne testi alustamist"
t_testiosa;sooritajajuhend;"sooritajajuhend, mis kuvatakse siis, kui sooritamist on alustatud"
t_testiplokk;TABEL 1.182;"Tabeli Testiplokk tõlge"
t_testiplokk;created;"kirje loomise aeg"
t_testiplokk;modified;"kirje viimase muutmise aeg"
t_testiplokk;creator;"kirje looja isikukood"
t_testiplokk;modifier;"kirje viimase muutja isikukood"
t_testiplokk;orig_id;"viide lähtekirjele"
t_testiplokk;lang;"tõlkekeel"
t_testiplokk;nimi;"nimetus"
t_testitagasiside;TABEL 1.183;"Tabeli Testitagasiside tõlge"
t_testitagasiside;created;"kirje loomise aeg"
t_testitagasiside;modified;"kirje viimase muutmise aeg"
t_testitagasiside;creator;"kirje looja isikukood"
t_testitagasiside;modifier;"kirje viimase muutja isikukood"
t_testitagasiside;orig_id;"viide lähtekirjele"
t_testitagasiside;lang;"tõlkekeel"
t_testitagasiside;sissejuhatus_opilasele;"sissejuhatus õpilasele"
t_testitagasiside;kokkuvote_opilasele;"kokkuvõte õpilasele"
t_testitagasiside;sissejuhatus_opetajale;"sissejuhatus õpetajale"
t_testitagasiside;kokkuvote_opetajale;"kokkuvõte õpetajale"
t_testitagasiside;tahemargid;"tähemärkide arv"
t_testiylesanne;TABEL 1.184;"Tabeli Testiylesanne tõlge"
t_testiylesanne;created;"kirje loomise aeg"
t_testiylesanne;modified;"kirje viimase muutmise aeg"
t_testiylesanne;creator;"kirje looja isikukood"
t_testiylesanne;modifier;"kirje viimase muutja isikukood"
t_testiylesanne;orig_id;"viide lähtekirjele"
t_testiylesanne;lang;"tõlkekeel"
t_testiylesanne;nimi;"nimetus"
t_testiylesanne;sooritajajuhend;"juhend sooritajale (kasutusel valikülesande korral)"
t_testiylesanne;pealkiri;"pealkiri (kasutusel valikülesande korral)"
t_tulemus;TABEL 1.185;"Tabeli Tulemus tõlge"
t_tulemus;created;"kirje loomise aeg"
t_tulemus;modified;"kirje viimase muutmise aeg"
t_tulemus;creator;"kirje looja isikukood"
t_tulemus;modifier;"kirje viimase muutja isikukood"
t_tulemus;id;"kirje identifikaator"
t_tulemus;orig_id;"viide lähtetabelile"
t_tulemus;lang;"tõlkekeel"
t_tulemus;ylesandeversioon_id;"versioon"
t_tulemus;naidisvastus;"näidisvastus (avatud vastusega küsimuse korral)"
t_valik;TABEL 1.186;"Tabeli Valik tõlge"
t_valik;created;"kirje loomise aeg"
t_valik;modified;"kirje viimase muutmise aeg"
t_valik;creator;"kirje looja isikukood"
t_valik;modifier;"kirje viimase muutja isikukood"
t_valik;id;"kirje identifikaator"
t_valik;orig_id;"viide lähtetabelile"
t_valik;lang;"tõlkekeel"
t_valik;ylesandeversioon_id;"versioon"
t_valik;nimi;"nimetus"
t_valitudylesanne;TABEL 1.187;"Tabeli Valitudylesanne tõlge"
t_valitudylesanne;created;"kirje loomise aeg"
t_valitudylesanne;modified;"kirje viimase muutmise aeg"
t_valitudylesanne;creator;"kirje looja isikukood"
t_valitudylesanne;modifier;"kirje viimase muutja isikukood"
t_valitudylesanne;orig_id;"viide lähtekirjele"
t_valitudylesanne;lang;"tõlkekeel"
t_valitudylesanne;selgitus;"selgitav tekst lahendajale (jagatud töö korral)"
t_ylesandefail;TABEL 1.188;"Tabeli Ylesandefail tõlge"
t_ylesandefail;created;"kirje loomise aeg"
t_ylesandefail;modified;"kirje viimase muutmise aeg"
t_ylesandefail;creator;"kirje looja isikukood"
t_ylesandefail;modifier;"kirje viimase muutja isikukood"
t_ylesandefail;id;"kirje identifikaator"
t_ylesandefail;orig_id;"viide lähtetabelile"
t_ylesandefail;lang;"tõlkekeel"
t_ylesandefail;ylesandeversioon_id;"versioon"
t_ylesandefail;filesize;"faili suurus baitides"
t_ylesandefail;fileversion;"versioon"
t_ylesandefail;fileurl;"faili URL"
t_ylesandegrupp;TABEL 1.189;"Tabeli Nsgrupp tõlge"
t_ylesandegrupp;created;"kirje loomise aeg"
t_ylesandegrupp;modified;"kirje viimase muutmise aeg"
t_ylesandegrupp;creator;"kirje looja isikukood"
t_ylesandegrupp;modifier;"kirje viimase muutja isikukood"
t_ylesandegrupp;orig_id;"viide lähtekirjele"
t_ylesandegrupp;lang;"tõlkekeel"
t_ylesandegrupp;nimi;"grupi nimetus"
t_ylesanne;TABEL 1.190;"Tabeli Ylesanne tõlge"
t_ylesanne;created;"kirje loomise aeg"
t_ylesanne;modified;"kirje viimase muutmise aeg"
t_ylesanne;creator;"kirje looja isikukood"
t_ylesanne;modifier;"kirje viimase muutja isikukood"
t_ylesanne;id;"kirje identifikaator"
t_ylesanne;orig_id;"viide lähtetabelile"
t_ylesanne;lang;"tõlkekeel"
t_ylesanne;ylesandeversioon_id;"versioon"
t_ylesanne;nimi;"nimetus"
t_ylesanne;marksonad;"otsingu märksõnad"
t_ylesanne;dlgop_tekst;"dialoogiakna tekst, kui vastamist ei alustata ooteaja jooksul (õpipädevuse ülesannetes sisuplokis  piltide lohistamine kujunditele )"
t_ylesanne;tahemargid;"ülesande tõlke tähemärkide arv"
t_ylesanne;yl_tagasiside;"tagasiside terve ülesande kohta sõltumata tulemusest"
tagasisidefail;TABEL 1.191;"Testi tagasisidevormil kasutatud piltide failid"
tagasisidefail;created;"kirje loomise aeg"
tagasisidefail;modified;"kirje viimase muutmise aeg"
tagasisidefail;creator;"kirje looja isikukood"
tagasisidefail;modifier;"kirje viimase muutja isikukood"
tagasisidefail;id;"kirje identifikaator"
tagasisidefail;test_id;"viide testile"
tagasisidefail;filename;"failinimi"
tagasisidefail;filesize;"faili suurus baitides"
tagasisidefail;fileversion;"versioon"
tagasisidefail;mimetype;"failitüüp"
tagasisidevorm;TABEL 1.192;"Testi tagasisidevormi mall"
tagasisidevorm;created;"kirje loomise aeg"
tagasisidevorm;modified;"kirje viimase muutmise aeg"
tagasisidevorm;creator;"kirje looja isikukood"
tagasisidevorm;modifier;"kirje viimase muutja isikukood"
tagasisidevorm;id;"kirje identifikaator"
tagasisidevorm;nimi;"vormi nimi"
tagasisidevorm;test_id;"viide testile (puudub malli alamosa korral)"
tagasisidevorm;liik;"vormi liik: NULL - vormi alamosa, 0 - testi kirjeldus, 1 - õpilase tagasisidevorm, 2 - grupi tagasisidevorm klasside tulemuste sakil, 3 - õpetaja/läbiviija tagasisidevorm ühe õpilase kohta, 4 - grupi tagasisidevorm õpilaste tulemuse sakil"
tagasisidevorm;kursus_kood;"lai või kitsas (matemaatika korral), klassifikaator KURSUS"
tagasisidevorm;ylem_id;"viide ülemale väärtusele (alamosa korral)"
tagasisidevorm;sisu;"tagasisidevormi sisu"
tagasisidevorm;sisu_jatk;"tagasisidevormi täiendatud sisu, mis ilmub klikkides  Näita rohkem  (kasutusel testi kirjelduse korral)"
tagasisidevorm;staatus;"vormi olek: 0 - ei ole kasutusel, 1 - kehtiv käsitsi koostatud vorm, 4 - automaatselt loodud vorm"
tagasisidevorm;lang;"keel (kui puudub, siis ei sõltu soorituskeelest)"
tagasisidevorm;seq;"vormi alamosa korral alamosa jrk nr"
tagasisidevorm;nahtav_opetajale;"kas õpetaja võib näha (õpilase tagasiside korral)"
tagastusymbrik;TABEL 1.193;"Testiprotokollirühma ja tagastusümbrikuliigiga seotud tagastusümbrike kogus.      Igast tagastusümbrikuliigist on oma ümbrik.     Ilma liigita ümbrik on peaümbrik.     Kui protokollirühma suurus on suurem kui tagastusümbriku maht, siis on ühe      kirje kohta tegelikkuses mitu ümbrikut (sama numbriga).      Eeldame, et kõiki ühele kirjele vastavaid ümbrikke liigutatakse alati koos.     See on sellepärast nii, et vastasel juhul tekiks ümbrike      hindajatele hindamiseks väljastamisel probleem,     kuna ei ole teada, milliste sooritajate tööd millises ümbrikus asuvad.     Kui ühe protokolli ümbrikud satuks erinevate hindajate kätte,     siis poleks teada, milliste sooritajate tööd milliste hindajate käes on."
tagastusymbrik;created;"kirje loomise aeg"
tagastusymbrik;modified;"kirje viimase muutmise aeg"
tagastusymbrik;creator;"kirje looja isikukood"
tagastusymbrik;modifier;"kirje viimase muutja isikukood"
tagastusymbrik;id;"kirje identifikaator"
tagastusymbrik;tahised;"tagastusümbrikuliigile vastava ümbriku korral: testi, testiosa, testimiskorra, testikoha, testiprotokolli, tagastusümbrikuliigi tähised, kriips vahel (2 protokolli ümbrikul on testiprotokollide tähised kaldkriipsuga eraldatud), peaümbriku korral: testi, testiosa, testimiskorra, testikoha tähised, kriips vahel (peaümbriku korral ei ole tähis unikaalne, kuna kõigil sama koha testipakettidel on sama tähis, triipkoodile trükitakse seepärast lisaks tähisele ka paketi keele kood)"
tagastusymbrik;testipakett_id;"viide testipaketile"
tagastusymbrik;testiprotokoll_id;"viide testiprotokollile, kui puudub, siis on peaümbrik"
tagastusymbrik;testiprotokoll2_id;"viide teisele testiprotokollile, kui tagastusymbrikuliik.arvutus=2"
tagastusymbrik;tagastusymbrikuliik_id;"tagastusümbrikuliik, kui puudub, siis on peaümbrik"
tagastusymbrik;staatus;"olek, M_STAATUS"
tagastusymbrik;labiviija_id;"viide hindajale (või hindajate paarile), kui ümbrik on hindajale hindamiseks väljastatud"
tagastusymbrik;ymbrikearv;"ümbrike arv, mis on saadud tööde arvu jagamisel ümbriku mahuga"
tagastusymbrik;valjastatud;"hindajale väljastamise aeg, vajalik hindaja ümbrike sortimiseks väljastamise järjekorras"
tagastusymbrik;arvutus;"arvutusprotsessi tunnus"
tagastusymbrikuliik;TABEL 1.194;"Tagastusümbriku liik vastab üldjuhul alatestile     (st testiprotokollirühmas on iga alatesti ülesannete jaoks oma ümbrik)"
tagastusymbrikuliik;created;"kirje loomise aeg"
tagastusymbrikuliik;modified;"kirje viimase muutmise aeg"
tagastusymbrikuliik;creator;"kirje looja isikukood"
tagastusymbrikuliik;modifier;"kirje viimase muutja isikukood"
tagastusymbrikuliik;id;"kirje identifikaator"
tagastusymbrikuliik;tahis;"ümbriku liigi tähis"
tagastusymbrikuliik;nimi;"ümbriku liigi nimetus"
tagastusymbrikuliik;toimumisaeg_id;"viide toimumisajale"
tagastusymbrikuliik;maht;"mitu testitööd mahub ühte ümbrikusse"
tagastusymbrikuliik;sisukohta;"mille kohta ümbrik teha: 1 - testiprotokollirühma kohta, 2 - sama ruumi kahe testiprotokollirühma kohta, 3 - testipaketi kohta"
tagastusymbrikuliik_hk;TABEL 1.195;""
tagastusymbrikuliik_hk;tagastusymbrikuliik_id;""
tagastusymbrikuliik_hk;hindamiskogum_id;""
taustakysitlus;TABEL 1.196;"Õpilase testi ja õpetaja testi seos, mis koos moodustavad taustaküsitluse"
taustakysitlus;created;"kirje loomise aeg"
taustakysitlus;modified;"kirje viimase muutmise aeg"
taustakysitlus;creator;"kirje looja isikukood"
taustakysitlus;modifier;"kirje viimase muutja isikukood"
taustakysitlus;id;"kirje identifikaator"
taustakysitlus;opilase_test_id;"viide õpilase testile"
taustakysitlus;opetaja_test_id;"viide õpetaja testile"
teavitustellimus;TABEL 1.197;"Kasutaja poolt tellitud teavitusviisid eesti.ee vanas teavituskalendris     (uuelt me ei saa enam seda infot küsida)"
teavitustellimus;created;"kirje loomise aeg"
teavitustellimus;modified;"kirje viimase muutmise aeg"
teavitustellimus;creator;"kirje looja isikukood"
teavitustellimus;modifier;"kirje viimase muutja isikukood"
teavitustellimus;id;"kirje identifikaator"
teavitustellimus;kasutaja_id;"viide kasutajale"
teavitustellimus;teatekanal;"tellimuse kanal: 3 - eesti.ee teavituskalendri kaudu"
teavitustellimus;syndmuseliik;"testiliigi kood, millele vastavad sündmused on tellitud (teavituskalendri korral)"
test;TABEL 1.198;"Test"
test;created;"kirje loomise aeg"
test;modified;"kirje viimase muutmise aeg"
test;creator;"kirje looja isikukood"
test;modifier;"kirje viimase muutja isikukood"
test;id;"kirje identifikaator"
test;nimi;"testi nimi"
test;staatus;"olek: 1 - koostamisel, 2 - kinnitatud, 8 - arhiveeritud"
test;testityyp;"testi tüüp: 0 - avaliku vaate test, 1 - eksamikeskuse test, 2 - konsultatsioon, 3 - õpilasele jagatud töö"
test;testiklass_kood;"klass, klassifikaator TESTIKLASS"
test;aste_mask;"kooliastmed/erialad kodeeritud bittide summana, biti järjekorranumber on astme kood (või vaikimisi astmete korral 0 - I aste, 1 - II aste, 2 - III aste, 3 - gümnaasium)"
test;periood_kood;"periood, klassifikaator PERIOOD"
test;max_pallid;"max hindepallide arv"
test;yhisosa_max_pallid;"laia ja kitsa matemaatika ühisossa kuuluvate ülesannete max hindepallide arv"
test;salastatud;"salastatus: 0 - pole salastatud, 1 - salastatud, kuid sooritatav, 2 - loogiline salastatus, 2 - krüptitud (enam ei saa)"
test;testiliik_kood;"testi liik, klassifikaator TESTILIIK"
test;aine_kood;"õppeaine, klassifikaator AINE"
test;aine_muu;"õppeaine nimetus, kui ei leidu klassifikaatoris (avaliku vaate testi korral)"
test;eeltest_id;"eeltesti andmed ja seos algse testiga, kui antud test on mingi teise testi eeltest"
test;avaldamistase;"avaldamistase: 4 - kõigile lahendajatele, 3 - kõikidele pedagoogidele, 2 - määratud kasutajatele, 1 - testimiskorraga test, 0 - keegi ei saa kasutada"
test;avalik_alates;"kuupäev, millest alates test on avalikus vaates (kõigile sooritajatele, kõigile pedagoogidele või määratud pedagoogidele)"
test;avalik_kuni;"kuupäev, milleni test on avalikus vaates"
test;korduv_sooritamine;"kas on võimalik testimiskorrata sooritamisel korduvalt sooritada"
test;korduv_sailitamine;"kas korduvalt sooritamisel jätta varasemad sooritused alles"
test;oige_naitamine;"kas näidata õiget vastust lahendajale peale sooritamist (kasutatakse avaliku vaate testi korral)"
test;arvutihinde_naitamine;"kas näidata arvutihinnatavat osa tulemusest kohe"
test;tulemus_tugiisikule;"kas tugiisik võib näha testi tulemust"
test;vastus_tugiisikule;"kas tugiisik võib näha antud vastuseid ja soorituse kirjet"
test;osalemise_peitmine;"kas peita osalemine sooritaja eest (testimiskorrata lahendamisel): tugiisiku kasutamise korral ei näidata sooritajale testi kuskil, tugiisikuta sooritamisel näeb sooritaja testi ainult sooritamise ajal, ei mõjuta tulemuse ja vastuste kuvamist tugiisikule"
test;ajakulu_naitamine;"soorituste ajakulu näitamine koolile klassi tulemuste vaatamisel: 0 - ei näidata, 1 - ainult osade kaupa, 2 - ainult koguaeg (osade summa), 3 - osade kaupa ja koguaeg"
test;opetajale_peidus;"kas peita õpilase vastused ja tagasiside õpetaja eest (testimiskorrata lahendamisel, kasutusel taustaküsitlustes)"
test;tagasiside_mall;"tagasiside mall: NULL - ei ole tagasisidet, 0 - vabalt kujundatav, 1 - diagnoosiva testi mall, 2 - koolipsühholoogi testi mall"
test;diagnoosiv;"kas on diagnoosiv test"
test;pallideta;"kas avalikus vaates ei kuvata tulemust pallides ega protsentides (õpipädevuse, koolipsühholoogi ja diagnoosiva testi korral sees) ja ei kuvata vastuste analüüsi"
